Transaction ID,Customer ID,Transaction Date,Amount
T437,C061,21-10-2023,41759
T438,C050,02-11-2023,16723
T439,C096,17-02-2023,23502
T440,C009,01-05-2024,15902
T441,C094,16-07-2025,6893
T442,C099,22-09-2024,48281
T443,C097,19-02-2024,8843
T444,C006,24-01-2025,35883
T445,C044,02-01-2024,44971
T446,C060,01-06-2024,31461
T447,C081,12-08-2024,8937
T448,C009,24-05-2024,30094
T449,C005,01-04-2024,13311
T450,C006,21-08-2024,2846
T451,C041,02-08-2024,20421
T452,C066,24-12-2024,35688
T453,C061,05-02-2024,2499
T454,C097,29-07-2024,12624
T455,C037,16-08-2024,3232
T456,C084,09-02-2024,18005
T457,C016,20-03-2025,28736
T458,C052,04-02-2025,25439
T459,C044,26-01-2024,32619
T460,C089,12-06-2024,24174
T461,C067,08-02-2024,5514
T462,C094,19-12-2024,5272
T463,C056,19-12-2024,35848
T464,C038,12-01-2025,6823
T465,C011,06-01-2024,43414
T466,C038,04-01-2025,29323
T467,C078,16-11-2025,28025
T468,C022,02-10-2024,29191
T469,C045,13-12-2023,2875
T470,C094,07-10-2024,40394
T471,C056,20-12-2024,42008
T472,C008,06-11-2024,44086
T473,C082,17-10-2024,23909
T474,C066,24-04-2024,2140
T475,C019,23-12-2024,44539
T476,C057,28-08-2023,8372
T477,C009,24-04-2024,42381
T478,C047,03-12-2024,25190
T479,C073,22-03-2023,39755
T480,C020,26-12-2024,24411
T481,C048,25-05-2024,5138
T482,C074,23-10-2024,34798
T483,C047,21-12-2024,20703
T484,C084,17-12-2023,16458
T485,C015,19-11-2024,48313
T486,C024,18-07-2025,34030
T487,C050,04-08-2024,36909
T488,C016,25-01-2025,17158
T489,C091,14-04-2025,14162
T490,C079,24-10-2024,45580
T491,C063,29-12-2023,8137
T492,C018,20-11-2024,4953
T493,C058,20-07-2023,46851
T494,C057,21-10-2023,44790
T495,C041,19-03-2024,22868
T496,C091,01-10-2024,36144
T497,C070,23-08-2024,19757
T498,C021,11-03-2025,46601
T499,C090,03-10-2024,11509
T500,C047,16-02-2025,14795
T501,C016,24-12-2024,9201
T502,C031,13-10-2024,1822
T503,C047,11-03-2025,37604
T504,C048,06-06-2024,36252
T505,C017,22-12-2024,5750
T506,C009,28-04-2024,26193
T507,C092,24-05-2025,31469
T508,C068,18-11-2024,26932
T509,C074,15-10-2024,8313
T510,C041,06-03-2024,4960
T511,C058,16-05-2024,44671
T512,C067,27-04-2024,8510
T513,C100,15-08-2024,8556
T514,C056,19-12-2024,8237
T515,C067,14-10-2023,20031
T516,C022,26-07-2024,21245
T517,C091,22-12-2024,22776
T518,C067,25-02-2024,5268
T519,C033,18-09-2023,41719
T520,C071,25-07-2024,8303
T521,C081,13-10-2024,40367
T522,C069,07-12-2023,33036
T523,C083,10-11-2023,38884
T524,C075,24-11-2023,11319
T525,C085,02-08-2024,22226
T526,C073,31-03-2023,1959
T527,C011,15-08-2023,42138
T528,C099,22-09-2024,17444
T529,C084,08-10-2023,37595
T530,C054,09-07-2023,32739
T531,C081,06-10-2024,42168
T532,C039,08-01-2025,16148
T533,C088,24-10-2024,19592
T534,C059,26-12-2023,45228
T535,C008,27-11-2024,28909
T536,C054,15-10-2024,30537
T537,C027,29-08-2024,39858
T538,C019,09-10-2024,47178
T539,C041,22-04-2024,22734
T540,C052,24-03-2024,49950
T541,C048,30-06-2024,36908
T542,C014,18-02-2024,15942
T543,C060,06-01-2024,17629
T544,C058,05-10-2023,9332
T545,C013,06-12-2023,19119
T546,C050,10-07-2024,40429
T547,C054,17-02-2024,10566
T548,C042,27-12-2024,47359
T549,C041,19-07-2023,10542
T550,C064,13-11-2024,30693
T551,C064,21-09-2024,32695
T552,C003,28-12-2023,25871
T553,C065,25-01-2025,15876
T554,C028,16-11-2025,23227
T555,C007,20-07-2024,18538
T556,C064,04-12-2024,42977
T557,C087,02-05-2024,18826
T558,C069,25-10-2023,7144
T559,C056,19-12-2024,17432
T560,C094,20-10-2024,26527
T561,C047,24-06-2024,26352
T562,C007,20-07-2024,23858
T563,C071,08-08-2024,4918
T564,C050,08-01-2024,29614
T565,C098,27-01-2025,18431
T566,C080,11-02-2025,7886
T567,C017,02-04-2024,25914
T568,C048,01-04-2024,36658
T569,C047,22-06-2025,9554
T570,C026,16-07-2024,33465
T571,C052,07-04-2025,2738
T572,C006,09-03-2024,9080
T573,C092,24-04-2024,31147
T574,C067,20-08-2024,9860
T575,C078,04-08-2025,9260
T576,C042,01-02-2025,20975
T577,C021,19-04-2024,40502
T578,C095,15-07-2024,39010
T579,C044,12-11-2025,33504
T580,C069,27-06-2024,46547
T581,C073,20-12-2023,31222
T582,C003,08-10-2024,21808
T583,C087,29-04-2023,27398
T584,C075,11-02-2024,47634
T585,C089,21-06-2024,1846
T586,C077,22-11-2024,17501
T587,C084,16-05-2025,38010
T588,C074,04-11-2024,47377
T589,C007,21-07-2024,11274
T590,C068,13-01-2025,47363
T591,C080,16-10-2024,9784
T592,C088,13-09-2024,2169
T593,C074,20-10-2024,12603
T594,C003,21-12-2024,20658
T595,C054,10-11-2023,27163
T596,C089,25-05-2024,26994
T597,C065,16-04-2025,40173
T598,C061,30-10-2023,46353
T599,C018,02-06-2024,13688
T600,C072,10-02-2025,43499
T601,C062,11-09-2025,24795
T602,C041,14-08-2024,11449
T603,C059,10-04-2025,22534
T604,C070,25-09-2024,44393
T605,C099,26-09-2024,47346
T606,C088,24-12-2024,45536
T607,C034,29-06-2025,31831
T608,C025,04-11-2023,18384
T609,C072,03-02-2025,14836
T610,C039,23-06-2024,46296
T611,C027,13-11-2024,20877
T612,C062,14-03-2025,36832
T613,C093,20-04-2024,18960
T614,C016,03-07-2025,44443
T615,C070,08-10-2024,25956
T616,C045,29-08-2024,9699
T617,C038,22-08-2024,18950
T618,C092,07-08-2023,22799
T619,C057,25-05-2025,16906
T620,C096,05-06-2024,14123
T621,C026,08-11-2024,35396
T622,C035,14-08-2024,45724
T623,C035,21-06-2024,7258
T624,C079,14-06-2025,38558
T625,C031,07-06-2024,3426
T626,C086,13-12-2024,41908
T627,C030,29-09-2023,6666
T628,C053,14-11-2024,47112
T629,C061,19-11-2023,44742
T630,C099,15-09-2024,439
T631,C071,27-03-2024,26767
T632,C084,06-07-2024,31390
T633,C084,27-09-2023,49639
T634,C037,16-08-2024,18804
T635,C083,21-07-2023,5962
T636,C084,14-10-2024,15318
T637,C069,02-11-2024,47490
T638,C005,02-12-2023,27486
T639,C023,13-10-2023,26117
T640,C064,21-08-2024,49186
T641,C038,23-10-2025,2555
T642,C002,27-03-2024,37321
T643,C078,07-01-2025,22057
T644,C037,16-08-2024,42129
T645,C070,21-12-2024,32469
T646,C018,19-11-2024,33144
T647,C060,13-02-2024,12736
T648,C015,24-04-2025,10749
T649,C094,23-01-2025,42586
T650,C033,05-03-2025,12302
T651,C002,06-05-2024,19434
T652,C073,07-01-2025,49729
T653,C025,23-08-2023,40139
T654,C082,17-10-2024,28129
T655,C066,13-10-2024,5784
T656,C052,17-02-2024,12209
T657,C018,12-05-2024,21307
T658,C032,11-11-2024,17190
T659,C050,23-08-2023,29377
T660,C097,16-01-2024,21702
T661,C039,13-09-2023,17241
T662,C084,09-03-2024,45501
T663,C031,06-03-2024,43864
T664,C016,09-05-2025,20206
T665,C021,02-05-2024,45062
T666,C065,29-03-2025,20480
T667,C089,19-05-2024,41958
T668,C038,05-02-2025,40380
T669,C029,16-11-2023,8853
T670,C062,25-08-2024,29917
T671,C096,13-10-2024,24585
T672,C054,21-12-2024,30956
T673,C097,03-06-2024,43622
T674,C028,07-12-2024,44686
T675,C097,03-07-2024,5465
T676,C068,27-11-2024,34714
T677,C091,02-03-2025,5218
T678,C073,11-06-2023,4147
T679,C071,18-03-2025,13348
T680,C074,13-12-2024,9920
T681,C022,16-08-2024,34201
T682,C057,20-11-2023,44683
T683,C027,13-11-2024,6059
T684,C066,11-02-2025,3746
T685,C059,25-02-2024,33736
T686,C054,17-09-2024,37056
T687,C008,10-03-2025,30402
T688,C087,12-04-2025,20296
T689,C093,13-12-2023,26048
T690,C033,14-06-2025,297
T691,C096,12-09-2023,38000
T692,C010,08-06-2024,27867
T693,C045,21-04-2024,4278
T694,C070,27-04-2024,4623
T695,C061,15-10-2023,18914
T696,C053,13-11-2024,8975
T697,C099,23-09-2024,47894
T698,C083,25-07-2024,24640
T699,C049,16-09-2024,24839
T700,C049,05-09-2023,44843
T701,C085,17-07-2024,8815
T702,C084,26-02-2024,7874
T703,C023,09-03-2025,25859
T704,C068,06-09-2024,47800
T705,C029,09-04-2023,49656
T706,C003,28-07-2024,30443
T707,C087,12-01-2025,35780
T708,C055,28-12-2024,24956
T709,C030,16-04-2024,30287
T710,C045,17-07-2023,18164
T711,C025,20-06-2023,2211
T712,C085,16-06-2024,40399
T713,C099,13-09-2024,15872
T714,C027,11-04-2024,6712
T715,C077,01-08-2024,29357
T716,C077,12-01-2025,46190
T717,C007,20-07-2024,48632
T718,C006,16-03-2025,28867
T719,C030,09-02-2025,14338
T720,C097,03-10-2024,3799
T721,C018,25-05-2024,19057
T722,C030,18-03-2025,20999
T723,C074,16-11-2024,15625
T724,C039,26-01-2024,43367
T725,C067,23-12-2023,27203
T726,C039,09-06-2024,4094
T727,C072,02-01-2025,41125
T728,C087,19-03-2024,36528
T729,C064,17-07-2024,22671
T730,C083,15-06-2024,34471
T731,C041,03-04-2024,27384
T732,C053,13-11-2024,19753
T733,C049,20-12-2023,49541
T734,C069,19-06-2024,15892
T735,C029,07-02-2024,46471
T736,C019,16-11-2024,3876
T737,C072,04-03-2025,27396
T738,C072,03-04-2025,8887
T739,C050,27-08-2023,16811
T740,C027,24-08-2024,42482
T741,C011,09-03-2024,24418
T742,C012,02-07-2024,47586
T743,C025,18-04-2023,17693
T744,C049,04-05-2025,39747
T745,C078,04-12-2024,4869
T746,C025,05-10-2023,31517
T747,C027,25-08-2024,19969
T748,C002,29-12-2023,12553
T749,C095,09-07-2024,49047
T750,C097,04-05-2024,15998
T751,C090,24-09-2024,46222
T752,C027,27-09-2024,15784
T753,C071,11-09-2024,18650
T754,C049,04-10-2024,35073
T755,C084,08-03-2024,20312
T756,C034,21-02-2025,33707
T757,C064,01-11-2024,6562
T758,C093,29-07-2024,21086
T759,C027,13-09-2024,20607
T760,C053,13-11-2024,36965
T761,C029,02-09-2023,1162
T762,C034,31-05-2025,38375
T763,C075,09-09-2024,27466
T764,C038,18-10-2024,12957
T765,C043,01-02-2024,24993
T766,C073,26-10-2023,32822
T767,C071,18-08-2025,44982
T768,C044,19-06-2024,32122
T769,C093,25-10-2024,48570
T770,C063,10-05-2024,11125
T771,C094,06-10-2024,11192
T772,C018,13-09-2024,35918
T773,C063,21-12-2023,35629
T774,C083,21-07-2023,34437
T775,C005,21-08-2023,43892
T776,C007,20-07-2024,27126
T777,C018,15-11-2024,41433
T778,C030,15-10-2023,46445
T779,C020,25-12-2024,14434
T780,C065,24-01-2025,24558
T781,C008,25-03-2025,41894
T782,C086,14-12-2024,43306
T783,C063,26-09-2023,533
T784,C069,29-07-2024,27057
T785,C002,13-06-2023,34795
T786,C093,20-04-2024,35210
T787,C037,15-08-2024,33013
T788,C090,11-08-2024,11848
T789,C014,05-07-2023,34466
T790,C020,25-12-2024,12678
T791,C080,30-12-2024,16642
T792,C046,29-02-2024,26111
T793,C011,30-01-2024,26709
T794,C059,13-05-2025,16038
T795,C090,19-06-2024,19759
T796,C088,02-08-2024,42943
T797,C084,22-04-2025,2176
T798,C012,20-02-2024,24955
T799,C049,31-12-2024,31295
T800,C008,30-03-2025,719
T801,C090,05-06-2024,5518
T802,C064,24-10-2024,42364
T803,C043,10-01-2025,6349
T804,C068,28-03-2025,2888
T805,C030,10-03-2024,45469
T806,C073,17-06-2024,17866
T807,C006,15-04-2024,44954
T808,C036,26-11-2024,11854
T809,C041,21-04-2023,13676
T810,C076,25-10-2023,49399
T811,C092,05-09-2025,26202
T812,C010,11-07-2024,10746
T813,C073,21-10-2023,37238
T814,C050,05-04-2024,35526
T815,C043,08-07-2024,49619
T816,C095,10-07-2024,45274
T817,C093,11-01-2024,32919
T818,C096,21-01-2024,3619
T819,C013,21-06-2024,15313
T820,C010,16-07-2024,39760
T821,C099,22-09-2024,39133
T822,C051,13-12-2024,2041
T823,C082,03-06-2024,29627
T824,C063,12-01-2024,23418
T825,C071,05-11-2024,28401
T826,C024,18-05-2025,5716
T827,C099,22-09-2024,19457
T828,C032,15-12-2024,5476
T829,C035,23-06-2024,25003
T830,C092,29-07-2025,41643
T831,C020,26-12-2024,20853
T832,C047,25-07-2024,6097
T833,C001,15-06-2024,29246
T834,C047,25-06-2025,17779
T835,C014,11-08-2023,5821
T836,C024,13-06-2025,29515
T837,C072,10-04-2025,33683
T838,C053,13-11-2024,1821
T839,C012,29-12-2023,36421
T840,C012,03-09-2024,39293
T841,C042,13-06-2024,908
T842,C038,28-02-2025,25514
T843,C100,15-08-2024,47603
T844,C072,20-01-2025,37583
T845,C067,31-10-2023,45012
T846,C049,05-12-2023,9199
T847,C035,12-07-2024,17690
T848,C064,11-08-2024,4246
T849,C022,30-08-2024,18185
T850,C054,09-04-2024,31834
T851,C010,19-07-2024,16595
T852,C032,24-09-2025,32592
T853,C077,28-12-2024,12915
T854,C059,30-01-2024,8979
T855,C039,08-09-2023,26032
T856,C043,07-03-2025,24996
T857,C043,03-09-2024,22037
T858,C056,19-12-2024,19789
T859,C042,22-01-2025,45666
T860,C026,14-05-2024,20690
T861,C023,17-10-2024,21015
T862,C038,12-08-2025,45644
T863,C082,12-01-2025,37840
T864,C032,23-04-2025,24745
T865,C036,11-01-2025,24021
T866,C015,21-08-2025,13194
T867,C076,18-05-2024,11891
T868,C088,30-11-2024,1863
T869,C094,26-01-2025,46523
T870,C027,18-10-2024,19192
T871,C089,16-05-2024,26913
T872,C087,01-06-2024,9221
